Time,Open,High,Low,Close,Volume,VWAP
2020-06-22 06:30:00,5.41,5.5,5.41,5.49,42.0,5.468095
2020-06-22 06:31:00,5.52,5.55,5.51,5.55,11.0,5.481886
2020-06-22 06:32:00,5.4,5.41,5.38,5.41,73.0,5.437936
2020-06-22 06:33:00,5.36,5.36,5.18,5.18,33.0,5.3981129999999995
2020-06-22 06:34:00,5.2,5.2,5.13,5.2,78.0,5.3111809999999995
2020-06-22 06:35:00,5.24,5.27,5.23,5.24,25.0,5.304312
2020-06-22 06:36:00,5.18,5.19,5.15,5.18,18.0,5.295857
2020-06-22 06:37:00,5.18,5.18,5.18,5.18,5.0,5.293824
2020-06-22 06:38:00,5.19,5.19,5.19,5.19,50.0,5.278328
2020-06-22 06:39:00,5.2,5.2,5.2,5.2,1.0,5.2780949999999995
2020-06-22 06:40:00,5.07,5.13,5.07,5.11,14.0,5.270371
2020-06-22 06:41:00,5.16,5.16,5.14,5.15,18.0,5.264809
2020-06-22 06:42:00,5.15,5.2,5.14,5.2,69.0,5.252059
2020-06-22 06:43:00,5.15,5.23,5.15,5.22,13.0,5.250155
2020-06-22 06:44:00,5.2,5.23,5.2,5.22,52.0,5.247987999999999
2020-06-22 06:45:00,5.24,5.24,5.23,5.23,86.0,5.245374
2020-06-22 06:46:00,5.18,5.23,5.18,5.23,11.0,5.2448239999999995
2020-06-22 06:47:00,5.23,5.32,5.23,5.27,23.0,5.245401
2020-06-22 06:48:00,5.29,5.34,5.25,5.33,109.0,5.259233
2020-06-22 06:49:00,5.34,5.34,5.34,5.34,3.0,5.259564
2020-06-22 06:50:00,5.34,5.34,5.34,5.34,8.0,5.260431
2020-06-22 06:52:00,5.32,5.38,5.31,5.37,6.0,5.261108999999999
2020-06-22 06:53:00,5.45,5.45,5.45,5.45,10.0,5.263601
2020-06-22 06:55:00,5.44,5.44,5.44,5.44,17.0,5.267469999999999
2020-06-22 06:56:00,5.5,5.5,5.5,5.5,2.0,5.268069000000001
2020-06-22 06:58:00,5.55,5.55,5.54,5.54,21.0,5.275476
2020-06-22 06:59:00,5.53,5.53,5.53,5.53,1.0,5.275794
2020-06-22 07:00:00,5.53,5.54,5.52,5.52,3.0,5.276745
2020-06-22 07:01:00,5.5,5.5,5.48,5.49,82.0,5.296583
2020-06-22 07:02:00,5.48,5.48,5.48,5.48,25.0,5.301628
2020-06-22 07:03:00,5.76,5.76,5.76,5.76,31.0,5.316744
2020-06-22 07:04:00,5.74,5.75,5.74,5.75,6.0,5.319439
2020-06-22 07:05:00,5.71,5.71,5.7,5.7,5.0,5.321482
2020-06-22 07:06:00,5.73,5.73,5.73,5.73,2.0,5.322339
2020-06-22 07:07:00,5.75,5.79,5.75,5.79,5.0,5.324739
2020-06-22 07:08:00,5.8,5.85,5.8,5.85,29.0,5.339544
2020-06-22 07:09:00,5.86,5.88,5.86,5.87,109.0,5.391394999999999
2020-06-22 07:10:00,5.86,5.86,5.83,5.83,6.0,5.3939010000000005
2020-06-22 07:11:00,5.86,5.86,5.86,5.86,5.0,5.396007
2020-06-22 07:12:00,5.89,5.9,5.89,5.9,2.0,5.396907
2020-06-22 07:14:00,5.93,5.93,5.93,5.93,1.0,5.397387
2020-06-22 07:15:00,5.96,5.99,5.96,5.99,4.0,5.399488
2020-06-22 07:16:00,5.94,5.95,5.94,5.95,121.0,5.452526
2020-06-22 07:17:00,5.96,5.96,5.96,5.96,10.0,5.456601999999999
2020-06-22 07:18:00,5.92,5.92,5.89,5.9,21.0,5.463933
2020-06-22 07:19:00,5.91,5.91,5.87,5.87,2.0,5.464605000000001
2020-06-22 07:20:00,5.89,5.91,5.88,5.88,14.0,5.469188
2020-06-22 07:21:00,5.82,5.84,5.82,5.83,66.0,5.486928
2020-06-22 07:22:00,5.84,5.84,5.8,5.8,5.0,5.488144
2020-06-22 07:24:00,5.89,5.89,5.84,5.87,9.0,5.490682
2020-06-22 07:27:00,5.83,5.84,5.83,5.84,4.0,5.491698
2020-06-22 07:28:00,5.85,5.91,5.85,5.9,5007.0,5.820282
2020-06-22 07:30:00,5.89,5.89,5.89,5.89,72.0,5.821061
